,0
0,Sonia Rykiel
1,Adriana Karembeu
2,AK France
3,Alexandre Marc
4,Alicia Milor
5,Ambregris
6,Antoine & Lili
7,Arno Sorel
8,Atelier Flou
9,Aubusson
10,Bastide Aix en Provence
11,Biosea
12,Boheme Chic
13,Calypso St. Barth
14,Catherine Lara
15,Cattier
16,Charles Jourdan
17,Charrier Parfums
18,Cindy C.
19,Compagnie Royale Des Indes Orientales
20,Corps Volatils
21,Costes
22,Cottage
23,David Haris
24,De Gabor
25,Dina Cosmetics
26,Domaine Prive Parfums
27,Emmanuelle Khanh
28,Esthederm
29,Faconnable
30,Floratropia
31,FO'AH
32,G. Nejman
33,Galavant
34,Giorgio Valenti
35,Guru Perfumes
36,Henry Jacques
37,Herve Gambs Paris
38,Herve Leger
39,Huygens
40,Immensity
41,Isabel Derroisne
42,J. Casanova
43,Jacques Zolty
44,Jean-Claude Jitrois
45,Acca Kappa
46,Filippo Sorcinelli
47,Mazzolari
48,Profumi del Forte
49,Roberto Cavalli
50,Roccobarocco
51,Acqua ai Fiori di Spello
52,Acqua di Biella
53,Acqua di Sardegna
54,Ella Mikao
55,Love Passport
56,Crop
57,Primaniacs
58,RisingWave
59,Tobali
60,Roberto Verino
61,Aristocrazy
62,Botanicae
63,Desigual
64,El Ganso
65,Gloria Ortiz
66,Lazaro
67,Le Frag
68,Maderas de Oriente
69,Nayara
70,Pull and Bear
71,Ramón Béjar
72,Santi Burgas
73,Tukaos
74,Women Secret
75,Abercrombie & Fitch
76,Adam Levine
77,Adidas
78,Providence Perfume Co.
79,Queen Latifah
80,Ralph Lauren
81,Régime des Fleurs
82,Revlon
83,Rihanna
84,Shakira
85,Sol de Janeiro
86,Victoria's Secret
87,Zaharoff
88,A Beautiful Life Brands
89,Aéropostale
90,American Eagle
91,Annika Sorenstam
92,Aqaba
93,Folli Follie
94,For Kings & Queens by Korres
95,Fresh Line
96,Jour Naper
97,Korres
98,Lavish Care
99,Mythos
100,Sarantis
101,All Good Scents
102,Nuroma
103,Regal
104,UpShots
105,Fuller Cosmetics®
