,0
0,https://www.fragrantica.com/perfume/My-Daughter-Fragrances/Joyful-67925.html
1,https://www.fragrantica.com/perfume/Persons-Of-Interests/Tabac-Noir-61560.html
2,https://www.fragrantica.com/perfume/Scent-Trunk/Celestial-Gala-74575.html
3,https://www.fragrantica.com/perfume/Scent-Trunk/Magnolia-74518.html
4,https://www.fragrantica.com/perfume/Scent-Trunk/Trackside-Buddleia-74514.html
5,https://www.fragrantica.com/perfume/Simon-Chang/Kimono-44536.html
6,https://www.fragrantica.com/perfume/Suzy-Larsen-Perfumes/Tickled-Pink-30740.html
7,https://www.fragrantica.com/perfume/Walter-Wolf/Formula-1-Leather-38754.html
8,https://www.fragrantica.com/perfume/Walter-Wolf/Formula-1-Steel-38752.html
9,https://www.fragrantica.com/perfume/Walter-Wolf/Formula-1-Wood-38753.html
10,https://www.fragrantica.com/perfume/Walter-Wolf/Grand-Prix-38751.html
11,https://www.fragrantica.com/perfume/Wild-Coast-Perfumery/Carmanah-73162.html
12,https://www.fragrantica.com/perfume/Wild-Coast-Perfumery/Island-Wildflower-73163.html
13,https://www.fragrantica.com/perfume/Wild-Coast-Perfumery/Saltspring-73164.html
14,https://www.fragrantica.com/perfume/Wild-Coast-Perfumery/Sunshine-Coast-73165.html
15,https://www.fragrantica.com/perfume/Wild-Coast-Perfumery/Tofino-73166.html
16,https://www.fragrantica.com/perfume/Wild-Coast-Perfumery/Whistler-73167.html
17,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Ambre-Jasmin-23473.html
18,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Aqua-Liguria-52870.html
19,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Baies-Sauvages-Jasmin-23443.html
20,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Charlotte-Aux-Fraises-23471.html
21,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Citronnade-23439.html
22,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Fairy-Land-61021.html
23,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Feuilles-de-Fraisier-34786.html
24,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Figue-34787.html
25,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Fleur-d-Iris-34788.html
26,https://www.fragrantica.com/perfume/Adopt-by-Reserve-Naturelle/Fleur-d-Osmanthus-34789.html
